Nome;Rodada;Custo;Tempo
kroB150;5;26130.0;16.137
kroB200;1;29437.0;56.258
kroB200;2;29541.0;56.271
kroB200;3;29437.0;56.258
kroB200;4;29447.0;56.264
kroB200;5;29437.0;56.257
kroC100;1;20749.0;5.329
kroC100;2;20749.0;5.33
kroC100;3;20749.0;5.329
kroC100;4;20749.0;5.326
kroC100;5;20749.0;5.331
kroD100;1;21294.0;5.595
kroD100;2;21294.0;5.597
kroD100;3;21294.0;5.594
kroD100;4;21294.0;5.595
kroD100;5;21294.0;5.595
kroE100;1;22068.0;5.747
kroE100;2;22068.0;5.747
kroE100;3;22068.0;5.747
kroE100;4;22068.0;5.746
kroE100;5;22068.0;5.748
lin105;1;14379.0;6.184
lin105;2;14379.0;6.184
lin105;3;14379.0;6.179
lin105;4;14379.0;6.181
lin105;5;14379.0;6.184
lin318;1;42029.0;311.366
lin318;2;42029.0;311.322
lin318;3;42029.0;311.532
lin318;4;42029.0;311.33
lin318;5;42029.0;311.523
lin318;1;42854.0;2.755
lin318;2;43613.0;2.794
lin318;3;43064.0;2.771
lin318;4;43325.0;2.778
lin318;5;43604.0;2.78
pcb442;1;50912.0;1030.138
pcb442;2;51012.0;1030.278
pcb442;3;50843.0;1030.72
pcb442;4;50912.0;1030.221
pcb442;5;50912.0;1030.43
pr107;1;44303.0;6.886
pr107;2;44303.0;6.89
pr107;3;44303.0;6.89
pr107;4;44303.0;6.891
pr107;5;44303.0;6.897
pr124;1;59030.0;10.044
pr124;2;59030.0;10.046
pr124;3;59030.0;10.048
pr124;4;59030.0;10.04
pr124;5;59030.0;10.042
pr136;1;96772.0;20.33
pr136;2;96772.0;20.331
pr136;3;96772.0;20.335
pr136;4;96772.0;20.337
pr136;5;96772.0;20.338
pr144;1;58537.0;16.825
pr144;2;58537.0;16.826
pr144;3;58537.0;16.83
pr144;4;58537.0;16.837
pr144;5;58537.0;16.839
pr152;1;73682.0;13.669
pr152;2;73682.0;13.658
pr152;3;73682.0;13.66
pr152;4;73682.0;13.673
pr152;5;73682.0;13.666
pr226;1;80369.0;77.358
pr226;2;80369.0;77.331
pr226;3;80377.0;77.377
pr226;4;80373.0;77.327
pr226;5;80369.0;77.314
pr264;1;49135.0;109.362
pr264;2;49135.0;109.212
pr264;3;49235.0;109.299
pr264;4;49135.0;109.249
pr264;5;49135.0;109.264
pr299;1;48191.0;204.019
pr299;2;48191.0;203.947
pr299;3;48191.0;204.018
pr299;4;48224.0;203.97
pr299;5;48191.0;204.018
pr76;1;108159.0;2.018
pr76;2;108159.0;2.019
pr76;3;108159.0;2.017
pr76;4;108159.0;2.019
pr76;5;108159.0;2.017
rat195;1;2328.0;45.597
rat195;2;2329.0;45.575
rat195;3;2323.0;45.577
rat195;4;2329.0;45.57
rat195;5;2329.0;45.563
rat99;1;1211.0;5.807
rat99;2;1211.0;5.807
rat99;3;1211.0;5.807
rat99;4;1211.0;5.809
rat99;5;1211.0;5.805
rd100;1;7910.0;5.906
rd100;2;7910.0;5.904
rd100;3;7910.0;5.906
rd100;4;7910.0;5.901
rd100;5;7910.0;5.909
rd400;1;15286.0;889.854
rd400;2;15281.0;890.248
rd400;3;15281.0;889.928
rd400;4;15291.0;889.826
rd400;5;15297.0;889.97
si175;1;1305.0;18.894
si175;2;1285.0;18.902
si175;3;1299.0;18.9
si175;4;1331.0;18.895
si175;5;1281.0;18.905
si535;1;3412.0;1151.004
si535;2;3903.0;1151.191
si535;3;3583.0;1150.931
si535;4;3807.0;1150.837
si535;5;3737.0;1150.892
st70;1;675.0;1.563
st70;2;675.0;1.565
st70;3;675.0;1.56
st70;4;675.0;1.561
st70;5;675.0;1.565
swiss42;1;1273.0;0.234
swiss42;2;1273.0;0.233
swiss42;3;1273.0;0.233
swiss42;4;1273.0;0.233
swiss42;5;1273.0;0.233
ts225;1;126643.0;47.671
ts225;2;126643.0;47.713
ts225;3;126643.0;47.673
ts225;4;126643.0;47.678
ts225;5;126643.0;47.654
tsp225;1;3916.0;76.335
tsp225;2;3916.0;76.322
tsp225;3;3939.0;76.268
tsp225;4;3916.0;76.407
tsp225;5;3916.0;76.323
u159;1;42080.0;16.023
u159;2;42080.0;15.977
u159;3;42080.0;15.956
u159;4;42080.0;15.905
u159;5;42080.0;15.946
ulysses16;1;6859.0;0.014
ulysses16;2;6859.0;0.014
ulysses16;3;6859.0;0.014
ulysses16;4;6859.0;0.014
ulysses16;5;6859.0;0.014
ulysses22;1;7013.0;0.031
ulysses22;2;7013.0;0.03
ulysses22;3;7013.0;0.03
ulysses22;4;7013.0;0.03
ulysses22;5;7013.0;0.03
